Exposure.ID,wasp.lineage,wasp.age.days,host.species,host.plant,pupa.mass,pupa.age.days,attempted2,wasp_success,bfly_success,attempted_binary,host.fate.no8,start3
a1,P. puparum,0.042,D. plexippus,A. curassavica,1.29,0.506944444,1b,0,1,Attempt,Butterfly,0013-09
a2,P. puparum,0.042,D. plexippus,A. incarnata,0.96,0.166666667,0,0,1,No attempt,Butterfly,0013-09
b1,P. puparum,0.042,D. plexippus,A. curassavica,1.28,0.166666667,1b,0,1,Attempt,Butterfly,0013-09
b2,P. puparum,0.059,D. plexippus,A. curassavica,1.31,0,0,0,1,No attempt,Butterfly,0013-09
C4,P. cassotis,0.069,D. plexippus,A. curassavica,1.31,0.986111111,2,1,0,Attempt,Wasps emerged,0014-06
C6,P. cassotis,0.069,D. plexippus,A. curassavica,1.34,0.961805556,0,0,1,No attempt,Butterfly,0014-06
I4,P. cassotis,0.069,D. plexippus,A. incarnata,1.38,0.986111111,2,1,0,Attempt,Wasps emerged,0014-06
I5,P. cassotis,0.069,D. plexippus,A. incarnata,1.119,0.958333333,1b,0,1,Attempt,Butterfly,0014-06
I6,P. cassotis,0.069,D. plexippus,A. incarnata,1.22,0.944444444,2,1,0,Attempt,Wasps emerged,0014-06
C7,P. cassotis,0.083,D. plexippus,A. curassavica,1.37,0.96875,0,0,1,No attempt,Butterfly,0014-06
C8,P. cassotis,0.083,D. plexippus,A. curassavica,1.29,0.958333333,1b,0,1,Attempt,Butterfly,0014-06
C9,P. cassotis,0.083,D. plexippus,A. curassavica,1.38,0.9375,2,1,0,Attempt,Wasps emerged,0014-06
I7,P. cassotis,0.083,D. plexippus,A. incarnata,1.24,0.958333333,0,0,1,No attempt,Butterfly,0014-06
I8,P. cassotis,0.083,D. plexippus,A. incarnata,1.38,0.9375,0,0,1,No attempt,Butterfly,0014-06
I9,P. cassotis,0.083,D. plexippus,A. incarnata,1.55,0.916666667,2,1,0,Attempt,Wasps emerged,0014-06
dptim3,P. puparum,0.111,D. plexippus,A. incarnata,1.12,0,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
PC14.9.20.10,P. cassotis,0.135,D. plexippus,A. curassavica,1.22,0.135416667,2,1,0,Attempt,Wasps emerged,0014-09
PC14.9.20.9,P. cassotis,0.135,D. plexippus,A. curassavica,1.21,0.135416667,2,1,0,Attempt,Wasps emerged,0014-09
PC15.7.29.11,P. cassotis,0.188,D. plexippus,A. incarnata,0.738,0.111111111,2,1,0,Attempt,Wasps emerged,0015-07
PC15.7.29.12,P. cassotis,0.188,D. plexippus,A. incarnata,1.236,0.052083333,2,1,0,Attempt,Wasps emerged,0015-07
PC14.8.6.1,P. cassotis,0.222,D. plexippus,A. curassavica,1.19,0.055555556,2,1,0,Attempt,Wasps emerged,0014-08
PC14.8.6.4,P. cassotis,0.222,D. plexippus,A. curassavica,1.18,0.055555556,2,1,0,Attempt,Wasps emerged,0014-08
PC14.8.6.5,P. cassotis,0.222,D. plexippus,A. curassavica,1.34,0.034722222,2,1,0,Attempt,Wasps emerged,0014-08
PC15.7.29.7,P. cassotis,0.25,D. plexippus,A. incarnata,NA,0.166666667,2,1,0,Attempt,Wasps emerged,0015-07
PC15.7.29.8,P. cassotis,0.25,D. plexippus,A. incarnata,NA,0.166666667,2,1,0,Attempt,Wasps emerged,0015-07
PC15.7.29.9,P. cassotis,0.25,D. plexippus,A. incarnata,NA,0.125,2,1,0,Attempt,Wasps emerged,0015-07
dptim10,P. puparum,0.305,D. plexippus,A. incarnata,1.19,0.043055556,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
dptim11,P. puparum,0.313,D. plexippus,A. incarnata,1.12,0.041666667,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-09
dptim12,P. puparum,0.313,D. plexippus,A. incarnata,1.06,0.041666667,0,0,0,No attempt,"Dead butterfly, no wasps",0013-09
dptim13,P. puparum,0.313,D. plexippus,A. incarnata,1.09,0.041666667,0,0,1,No attempt,Butterfly,0013-09
dptim14,P. puparum,0.313,D. plexippus,A. incarnata,1.15,0.041666667,0,0,1,No attempt,Butterfly,0013-09
dptim15,P. puparum,0.316,D. plexippus,A. incarnata,1.1,0,0,0,1,No attempt,Butterfly,0013-09
dptim16,P. puparum,0.41,D. plexippus,A. incarnata,0.86,0.125,0,0,0,No attempt,"Dead butterfly, no wasps",0013-09
dptim21,P. puparum,0.729,D. plexippus,A. incarnata,1.08,0.5625,1b,0,1,Attempt,Butterfly,0013-09
PC15.6.26.1,P. cassotis,0.788,D. plexippus,A. curassavica,1.608,0.017361111,0,0,1,No attempt,Butterfly,0015-06
PC15.6.26.2,P. cassotis,0.792,D. plexippus,A. curassavica,1.396,0.003472222,2,1,0,Attempt,Wasps emerged,0015-06
I54,P. cassotis,0.844,D. plexippus,A. incarnata,1.33,0.142361111,2,1,0,Attempt,Wasps emerged,0014-10
I55,P. cassotis,0.844,D. plexippus,A. incarnata,1.56,0.142361111,2,1,0,Attempt,Wasps emerged,0014-10
I56,P. cassotis,0.844,D. plexippus,A. incarnata,1.56,0.142361111,2,1,0,Attempt,Wasps emerged,0014-10
I57,P. cassotis,0.844,D. plexippus,A. incarnata,1.43,0.114583333,2,1,0,Attempt,Wasps emerged,0014-10
C16,P. cassotis,0.91,D. plexippus,A. curassavica,1.08,0.892361111,2,1,0,Attempt,Wasps emerged,0014-07
C17,P. cassotis,0.91,D. plexippus,A. curassavica,1.39,-0.027777778,2,1,0,Attempt,Wasps emerged,0014-07
C18,P. cassotis,0.91,D. plexippus,A. curassavica,1.37,0.034722222,2,1,0,Attempt,Wasps emerged,0014-07
C19,P. cassotis,0.91,D. plexippus,A. curassavica,1.33,0.034722222,2,1,0,Attempt,Wasps emerged,0014-07
C20,P. cassotis,0.91,D. plexippus,A. curassavica,1.24,0.034722222,1d,0,0,Attempt,"Dead butterfly, no wasps",0014-07
C21,P. cassotis,0.91,D. plexippus,A. curassavica,1.44,0.013888889,2,1,0,Attempt,Wasps emerged,0014-07
C22,P. cassotis,0.91,D. plexippus,A. curassavica,1.43,0.006944444,2,1,0,Attempt,Wasps emerged,0014-07
I16,P. cassotis,0.91,D. plexippus,A. incarnata,1.25,0.836805556,2,1,0,Attempt,Wasps emerged,0014-07
I17,P. cassotis,0.91,D. plexippus,A. incarnata,1.16,0.055555556,2,1,0,Attempt,Wasps emerged,0014-07
I18,P. cassotis,0.91,D. plexippus,A. incarnata,1.28,0.055555556,2,1,0,Attempt,Wasps emerged,0014-07
I19,P. cassotis,0.91,D. plexippus,A. incarnata,1.226,0.034722222,2,1,0,Attempt,Wasps emerged,0014-07
I20,P. cassotis,0.91,D. plexippus,A. incarnata,1.31,0.034722222,1b,0,1,Attempt,Butterfly,0014-07
I21,P. cassotis,0.91,D. plexippus,A. incarnata,1.29,0.020833333,2,1,0,Attempt,Wasps emerged,0014-07
I22,P. cassotis,0.91,D. plexippus,A. incarnata,1.4,0.020833333,2,1,0,Attempt,Wasps emerged,0014-07
PC14.8.1.1,P. cassotis,0.983,D. plexippus,A. curassavica,1.31,0.940972222,2,1,0,Attempt,Wasps emerged,0014-08
C23,P. cassotis,0.99,D. plexippus,A. curassavica,1.3,0.010416667,2,1,0,Attempt,Wasps emerged,0014-07
I23,P. cassotis,0.99,D. plexippus,A. incarnata,1.27,0.09375,2,1,0,Attempt,Wasps emerged,0014-07
I24,P. cassotis,0.99,D. plexippus,A. incarnata,1.23,0.09375,2,1,0,Attempt,Wasps emerged,0014-07
I25,P. cassotis,0.99,D. plexippus,A. incarnata,1.25,0.03125,2,1,0,Attempt,Wasps emerged,0014-07
PC14.9.20.5,P. cassotis,1.042,D. plexippus,A. curassavica,1.31,0.135416667,2,1,0,Attempt,Wasps emerged,0014-09
PC14.9.20.6,P. cassotis,1.042,D. plexippus,A. curassavica,1.3,0.135416667,2,1,0,Attempt,Wasps emerged,0014-09
PC16.9.8.1,P. cassotis,1.049,D. plexippus,A. incarnata,1.277,0.548611111,2,1,0,Attempt,Wasps emerged,0016-09
C24,P. cassotis,1.063,D. plexippus,A. curassavica,0.92,0.006944444,2,1,0,Attempt,Wasps emerged,0014-07
PC15.5.23.2,P. cassotis,1.073,D. plexippus,A. curassavica,1.254,0.5,0,0,1,No attempt,Butterfly,0015-05
dptim22,P. puparum,1.104,D. plexippus,A. incarnata,0.99,0.760416667,0,0,1,No attempt,Butterfly,0013-09
PC14.9.20.1,P. cassotis,1.135,D. plexippus,A. curassavica,1.23,0.135416667,1d,0,0,Attempt,"Dead butterfly, no wasps",0014-09
PC14.9.20.2,P. cassotis,1.135,D. plexippus,A. curassavica,1.21,0.135416667,2,1,0,Attempt,Wasps emerged,0014-09
PCO16.8.12.1,P. cassotis,1.156,D. plexippus,A. incarnata,1.244,0.947916667,2,1,0,Attempt,Wasps emerged,0016-08
dptim24,P. puparum,1.229,D. plexippus,A. incarnata,1.02,1,0,0,1,No attempt,Butterfly,0013-09
dptim25,P. puparum,1.229,D. plexippus,A. incarnata,1.06,1,0,0,1,No attempt,Butterfly,0013-09
dptim27,P. puparum,1.271,D. plexippus,A. incarnata,0.75,0.75,0,0,1,No attempt,Butterfly,0013-10
dptim28,P. puparum,1.271,D. plexippus,A. incarnata,0.66,0.75,0,0,1,No attempt,Butterfly,0013-10
C69,P. puparum,1.333,D. plexippus,A. curassavica,0.86,0.041666667,0,0,1,No attempt,Butterfly,0014-10
PCF16.8.12.1,P. cassotis,1.365,D. plexippus,A. incarnata,1.179,0.947916667,2,1,0,Attempt,Wasps emerged,0016-08
dptim29,P. puparum,1.389,D. plexippus,A. incarnata,0.86,0.892361111,0,0,1,No attempt,Butterfly,0013-10
dptim31,P. puparum,1.389,D. plexippus,A. incarnata,0.8,0.98125,0,0,0,No attempt,"Dead butterfly, no wasps",0013-10
sc1zg1,P. puparum,1.458,D. plexippus,A. incarnata,0.74,0.041666667,0,0,1,No attempt,Butterfly,0013-10
sc1zg2,P. puparum,1.458,D. plexippus,A. incarnata,0.67,0.041666667,1d,0,0,Attempt,"Dead butterfly, no wasps",0013-10
5c1zl1,P. puparum,1.583,D. plexippus,A. curassavica,0.97,0.666666667,0,0,1,No attempt,Butterfly,0013-10
C50,P. cassotis,1.806,D. plexippus,A. curassavica,1.06,-0.027777778,2,1,0,Attempt,Wasps emerged,0014-10
C51,P. cassotis,1.806,D. plexippus,A. curassavica,1.06,-0.069444444,2,1,0,Attempt,Wasps emerged,0014-10
C52,P. cassotis,1.806,D. plexippus,A. curassavica,1.1,0.055555556,1d,0,0,Attempt,"Dead butterfly, no wasps",0014-10
C53,P. cassotis,1.806,D. plexippus,A. curassavica,1.34,0.121527778,2,1,0,Attempt,Wasps emerged,0014-10
I58,P. cassotis,1.806,D. plexippus,A. incarnata,1.26,0.180555556,2,1,0,Attempt,Wasps emerged,0014-10
I59,P. cassotis,1.806,D. plexippus,A. incarnata,1.39,0.104166667,2,1,0,Attempt,Wasps emerged,0014-10
I60,P. cassotis,1.806,D. plexippus,A. incarnata,1.21,0.097222222,2,1,0,Attempt,Wasps emerged,0014-10
I61,P. cassotis,1.806,D. plexippus,A. incarnata,0.91,0.055555556,1d,0,0,Attempt,"Dead butterfly, no wasps",0014-10
I62,P. cassotis,1.806,D. plexippus,A. incarnata,0.75,0.034722222,2,1,0,Attempt,Wasps emerged,0014-10
PC16.2.5.1,P. cassotis,1.955,D. plexippus,A. incarnata,1.146,0.059027778,0,0,1,No attempt,Butterfly,0016-02
h1,P. puparum,1.958,D. plexippus,A. curassavica,1.34,0.166666667,0,0,0,No attempt,"Dead butterfly, no wasps",0013-09
PCO16.3.9.4,P. cassotis,1.99,D. plexippus,A. curassavica,1.164,0.28125,2,1,0,Attempt,Wasps emerged,0016-03
PC15.6.29.1,P. cassotis,2,D. plexippus,A. incarnata,1.42,0.006944444,1b,0,1,Attempt,Butterfly,0015-06
PCO16.4.3.1,P. cassotis,2.01,D. plexippus,A. incarnata,1.18,0.510416667,2,1,0,Attempt,Wasps emerged,0016-04
PC14.9.15.3,P. cassotis,2.014,D. plexippus,A. curassavica,1.27,0.680555556,2,1,0,Attempt,Wasps emerged,0014-09
I52,P. cassotis,2.069,D. plexippus,A. incarnata,1.21,0.402777778,1b,0,1,Attempt,Butterfly,0014-10
PC15.9.5.3,P. cassotis,2.083,D. plexippus,A. curassavica,1.071,0.208333333,2,1,0,Attempt,Wasps emerged,0015-09
PC14.9.20.3,P. cassotis,2.135,D. plexippus,A. curassavica,1.36,0.135416667,0,0,1,No attempt,Butterfly,0014-09
PC14.9.20.4,P. cassotis,2.135,D. plexippus,A. curassavica,1.43,0.135416667,0,0,1,No attempt,Butterfly,0014-09
PCF16.8.13.1,P. cassotis,2.156,D. plexippus,A. curassavica,0.862,0.489583333,1d,0,0,Attempt,Dead wasps in host,0016-08
PCO16.4.8.1,P. cassotis,2.167,D. plexippus,A. incarnata,0.984,0.541666667,1d,0,0,Attempt,Dead wasps in host,0016-04
PC16.2.21.1,P. cassotis,2.174,D. plexippus,A. curassavica,0.841,0.173611111,2,1,0,Attempt,Wasps emerged,0016-02
PC16.2.21.2,P. cassotis,2.174,D. plexippus,A. curassavica,1.112,0.173611111,2,1,0,Attempt,Wasps emerged,0016-02
PC16.3.25.2,P. cassotis,2.188,D. plexippus,A. incarnata,1.332,-0.291666667,2,1,0,Attempt,Wasps emerged,0016-03
PCO16.2.28.1,P. cassotis,2.215,D. plexippus,A. incarnata,0.917,0.381944444,2,1,0,Attempt,Wasps emerged,0016-02
PC16.2.23.1,P. cassotis,2.302,D. plexippus,A. curassavica,0.801,0.635416667,1d,0,0,Attempt,"Dead butterfly, no wasps",0016-02
PCO16.2.23.1,P. cassotis,2.302,D. plexippus,A. curassavica,0.658,0.125,2,1,0,Attempt,Wasps emerged,0016-02
5c4i1,P. puparum,2.344,D. plexippus,A. curassavica,0.9,0.59375,0,0,0,No attempt,Butterfly,0013-10
PC14.8.6.2,P. cassotis,2.389,D. plexippus,A. curassavica,1.15,0.055555556,2,1,0,Attempt,Wasps emerged,0014-08
PC14.8.6.3,P. cassotis,2.389,D. plexippus,A. curassavica,1.38,0.055555556,2,1,0,Attempt,Wasps emerged,0014-08
PC15.9.1.3,P. cassotis,2.51,D. plexippus,A. curassavica,1.43,0.260416667,1d,0,0,Attempt,"Dead butterfly, no wasps",0015-09
PC15.9.1.4,P. cassotis,2.51,D. plexippus,A. curassavica,1.18,0.197916667,1d,0,0,Attempt,"Dead butterfly, no wasps",0015-09
5c1zk1,P. puparum,2.639,D. plexippus,A. curassavica,0.78,0.003472222,0,0,1,No attempt,Butterfly,0013-10
C54,P. cassotis,2.833,D. plexippus,A. curassavica,1.21,0.0625,2,1,0,Attempt,Wasps emerged,0014-10
PCO16.8.14.2,P. cassotis,2.875,D. plexippus,A. curassavica,1.193,0.416666667,2,1,0,Attempt,Wasps emerged,0016-08
PCO16.8.14.3,P. cassotis,2.875,D. plexippus,A. curassavica,0.964,0.416666667,0,0,1,No attempt,Butterfly,0016-08
PC16.2.13.2,P. cassotis,2.896,D. plexippus,A. incarnata,0.844,0.020833333,2,1,0,Attempt,Wasps emerged,0016-02
PC15.5.14.2,P. cassotis,2.944,D. plexippus,A. incarnata,1.113,0.152777778,2,1,0,Attempt,Wasps emerged,0015-05
PC15.5.6.1,P. cassotis,2.948,D. plexippus,A. incarnata,1.33,0.114583333,1b,0,1,Attempt,Butterfly,0015-05
PC15.5.20.6,P. cassotis,2.958,D. plexippus,A. incarnata,1.271,0.0625,2,1,0,Attempt,Wasps emerged,0015-05
h2,P. puparum,2.976,D. plexippus,A. curassavica,1.22,0.833333333,0,0,1,No attempt,Butterfly,0013-09
h3,P. puparum,2.976,D. plexippus,A. curassavica,1.16,0.833333333,0,0,1,No attempt,Butterfly,0013-09
h4,P. puparum,2.976,D. plexippus,A. curassavica,1.21,0.833333333,0,0,1,No attempt,Butterfly,0013-09
h5,P. puparum,2.976,D. plexippus,A. curassavica,1.36,0.833333333,0,0,1,No attempt,Butterfly,0013-09
h6,P. puparum,2.979,D. plexippus,A. incarnata,0.76,0.083333333,0,0,1,No attempt,Butterfly,0013-09
h7,P. puparum,2.979,D. plexippus,A. incarnata,0.64,0.166666667,0,0,1,No attempt,Butterfly,0013-09
PC15.7.29.5,P. cassotis,2.979,D. plexippus,A. curassavica,NA,0.1875,2,1,0,Attempt,Wasps emerged,0015-07
PCO16.2.27.1,P. cassotis,2.983,D. plexippus,A. incarnata,1.073,0.045138889,2,1,0,Attempt,Wasps emerged,0016-02
PC15.5.14.3,P. cassotis,2.986,D. plexippus,A. incarnata,0.992,0.152777778,2,1,0,Attempt,Wasps emerged,0015-05
PC15.5.19.2,P. cassotis,2.993,D. plexippus,A. curassavica,1.306,0.076388889,2,1,0,Attempt,Wasps emerged,0015-05
PC14.9.24.1,P. cassotis,3.01,D. plexippus,A. curassavica,1.61,0.65625,2,1,0,Attempt,Wasps emerged,0014-09
PC16.3.9.1,P. cassotis,3.01,D. plexippus,A. curassavica,1.258,0.28125,2,1,0,Attempt,Wasps emerged,0016-03
PC16.9.28.2,P. cassotis,3.021,D. plexippus,A. curassavica,1.071,0.479166609,1d,0,0,Attempt,Dead wasps in host,0016-09
PCO16.9.28.3,P. cassotis,3.021,D. plexippus,A. incarnata,0.971,0.479166609,2,1,0,Attempt,Wasps emerged,0016-09
I50,P. cassotis,3.038,D. plexippus,A. incarnata,1.29,0.652777778,2,1,0,Attempt,Wasps emerged,0014-10
I53,P. cassotis,3.038,D. plexippus,A. incarnata,1.41,0.027777778,1d,0,0,Attempt,"Dead butterfly, no wasps",0014-10
5c1n,P. puparum,3.042,D. plexippus,A. incarnata,1.08,0.958333333,1b,0,1,Attempt,Butterfly,0013-09
5c1o,P. puparum,3.042,D. plexippus,A. incarnata,0.97,0.958333333,0,0,1,No attempt,Butterfly,0013-09
5c1q,P. puparum,3.042,D. plexippus,A. incarnata,1.09,0.958333333,1b,0,1,Attempt,Butterfly,0013-09
5c1r,P. puparum,3.042,D. plexippus,A. incarnata,1.04,0.958333333,0,0,1,No attempt,Butterfly,0013-09
5c1t,P. puparum,3.042,D. plexippus,A. incarnata,1.18,0.958333333,0,0,1,No attempt,Butterfly,0013-09
5c1y,P. puparum,3.063,D. plexippus,A. incarnata,1.08,-0.041666667,0,0,1,No attempt,Butterfly,0013-09
5c1z,P. puparum,3.063,D. plexippus,A. incarnata,1.26,-0.041666667,1b,0,1,Attempt,Butterfly,0013-09
PC15.5.14.1,P. cassotis,3.069,D. plexippus,A. incarnata,1.303,0.152777778,2,1,0,Attempt,Wasps emerged,0015-05
PC15.9.4.2,P. cassotis,3.083,D. plexippus,A. curassavica,1.286,0.020833333,2,1,0,Attempt,Wasps emerged,0015-09
PC15.5.20.9,P. cassotis,3.104,D. plexippus,A. curassavica,1.132,0.041666667,2,1,0,Attempt,Wasps emerged,0015-05
PC15.7.13.1,P. cassotis,3.104,D. plexippus,A. curassavica,1.237,0.229166667,0,0,1,No attempt,Butterfly,0015-07
PC16.2.13.1,P. cassotis,3.104,D. plexippus,A. incarnata,0.831,0.020833333,2,1,0,Attempt,Wasps emerged,0016-02
PC16.8.25.2,P. cassotis,3.104,D. plexippus,A. incarnata,1.034,0.059027778,1d,0,0,Attempt,"Dead butterfly, no wasps",0016-08
5c1zd,P. puparum,3.132,D. plexippus,A. curassavica,1.1,-0.083333333,1b,0,1,Attempt,Butterfly,0013-09
5c1zf,P. puparum,3.132,D. plexippus,A. curassavica,1.16,0,1b,0,1,Attempt,Butterfly,0013-09
PC15.9.6.4,P. cassotis,3.156,D. plexippus,A. curassavica,1.121,0.28125,2,1,0,Attempt,Wasps emerged,0015-09
PCO16.2.12.1,P. cassotis,3.167,D. plexippus,A. incarnata,0.848,0.041666667,2,1,0,Attempt,Wasps emerged,0016-02
I65,P. cassotis,3.177,D. plexippus,A. incarnata,1.09,0.760416667,2,1,0,Attempt,Wasps emerged,0014-10
I66,P. cassotis,3.177,D. plexippus,A. incarnata,1.18,0.760416667,2,1,0,Attempt,Wasps emerged,0014-10
I67,P. cassotis,3.177,D. plexippus,A. incarnata,0.933,0.71875,2,1,0,Attempt,Wasps emerged,0014-10
PC16.3.8.1,P. cassotis,3.198,D. plexippus,A. curassavica,1.11,0.010416667,2,1,0,Attempt,Wasps emerged,0016-03
PC16.3.7.1,P. cassotis,3.201,D. plexippus,A. curassavica,1.086,0.201388889,2,1,0,Attempt,Wasps emerged,0016-03
PC15.9.9.1,P. cassotis,3.208,D. plexippus,A. incarnata,0.869,0.625,0,0,0,No attempt,"Dead butterfly, no wasps",0015-09
PCO16.4.20.1,P. cassotis,3.208,D. plexippus,A. curassavica,0.923,0.583333333,2,1,0,Attempt,Wasps emerged,0016-04
PC15.9.1.6,P. cassotis,3.219,D. plexippus,A. curassavica,1.42,0.197916667,1b,0,1,Attempt,Butterfly,0015-09
PC15.7.12.2,P. cassotis,3.256,D. plexippus,A. curassavica,1.3,0.505555556,2,1,0,Attempt,Wasps emerged,0015-07
PC16.2.22.1,P. cassotis,3.257,D. plexippus,A. curassavica,1.307,0.215277778,2,1,0,Attempt,Wasps emerged,0016-02
PC14.9.4.10,P. cassotis,3.292,D. plexippus,A. incarnata,1.39,0.090277778,2,1,0,Attempt,Wasps emerged,0014-09
PC14.9.4.11,P. cassotis,3.292,D. plexippus,A. incarnata,1.52,0.020833333,2,1,0,Attempt,Wasps emerged,0014-09
PC14.9.4.12,P. cassotis,3.292,D. plexippus,A. incarnata,1.28,0.020833333,2,1,0,Attempt,Wasps emerged,0014-09
PCO16.2.24.1,P. cassotis,3.309,D. plexippus,A. curassavica,0.799,0.642361111,2,1,0,Attempt,Wasps emerged,0016-02
PC15.7.19.3,P. cassotis,3.319,D. plexippus,A. curassavica,1.328,0.611111111,2,1,0,Attempt,Wasps emerged,0015-07
PC16.2.11.1,P. cassotis,3.326,D. plexippus,A. incarnata,0.88,0.118055556,1b,0,1,Attempt,Butterfly,0016-02
I68,P. cassotis,3.347,D. plexippus,A. incarnata,1.28,0.138888889,2,1,0,Attempt,Wasps emerged,0014-10
I69,P. cassotis,3.347,D. plexippus,A. incarnata,1.03,0.118055556,2,1,0,Attempt,Wasps emerged,0014-10
I70,P. cassotis,3.347,D. plexippus,A. incarnata,0.872,0.097222222,2,1,0,Attempt,Wasps emerged,0014-10
I71,P. cassotis,3.347,D. plexippus,A. incarnata,1.1,0.138888889,2,1,0,Attempt,Wasps emerged,0014-10
I72,P. cassotis,3.347,D. plexippus,A. incarnata,1.17,0.034722222,2,1,0,Attempt,Wasps emerged,0014-10
I73,P. cassotis,3.347,D. plexippus,A. incarnata,0.777,0,2,1,0,Attempt,Wasps emerged,0014-10
PCN16.9.17.1,P. cassotis,3.521,D. plexippus,A. incarnata,1.149,0.083333333,2,1,0,Attempt,Wasps emerged,0016-09
5c4j1,P. puparum,3.535,D. plexippus,A. curassavica,1.07,0.034722222,0,0,1,No attempt,Butterfly,0013-10
PCF16.9.13.2,P. cassotis,3.556,D. plexippus,A. incarnata,1.291,0.222222222,2,1,0,Attempt,Wasps emerged,0016-09
h10,P. puparum,3.969,D. plexippus,A. incarnata,0.84,0.041666667,1b,0,1,Attempt,Butterfly,0013-10
h9,P. puparum,3.969,D. plexippus,A. incarnata,0.95,0.041666667,0,0,1,No attempt,Butterfly,0013-10
PC15.5.26.1,P. cassotis,3.976,D. plexippus,A. curassavica,1.176,0.152777778,2,1,0,Attempt,Wasps emerged,0015-05
PC15.5.20.3,P. cassotis,4,D. plexippus,A. curassavica,1.089,0.083333333,2,1,0,Attempt,Wasps emerged,0015-05
PC15.7.30.3,P. cassotis,4.014,D. plexippus,A. incarnata,NA,0.222222222,2,1,0,Attempt,Wasps emerged,0015-07
PC15.9.7.1,P. cassotis,4.014,D. plexippus,A. curassavica,0.875,0.138888889,1d,0,0,Attempt,Dead wasps in host,0015-09
PC16.3.27.1,P. cassotis,4.014,D. plexippus,A. curassavica,0.775,0.388888889,1d,0,0,Attempt,Dead wasps in host,0016-03
BEC.3.11.3.W,P. cassotis,4.069,D. plexippus,A. curassavica,1.244,0.222222164,1d,0,0,Attempt,"Dead butterfly, no wasps",0016-03
BEC.3.11.4.C,P. cassotis,4.069,D. plexippus,A. curassavica,1.269,0.229166609,1d,0,0,Attempt,Dead wasps in host,0016-03
BEC.3.11.2.W,P. cassotis,4.069,D. plexippus,A. curassavica,1.323,0.243055556,0,0,1,No attempt,Butterfly,0016-03
PC15.5.21.2,P. cassotis,4.083,D. plexippus,A. curassavica,1.134,0.104166667,2,1,0,Attempt,Wasps emerged,0015-05
BEC.3.25.1.C,P. cassotis,4.09,D. plexippus,A. incarnata,1.177,0.298611111,1d,0,0,Attempt,Dead wasps in host,0016-03
BEC.3.25.1.M,P. cassotis,4.09,D. plexippus,A. incarnata,1.3,0.222222222,2,1,0,Attempt,Wasps emerged,0016-03
BEC.3.25.1.W,P. cassotis,4.09,D. plexippus,A. incarnata,1.437,0.236111111,2,1,0,Attempt,Wasps emerged,0016-03
BEC.3.25.2.C,P. cassotis,4.09,D. plexippus,A. incarnata,1.329,0.25,1d,0,0,Attempt,Dead wasps in host,0016-03
BEC.3.25.2.M,P. cassotis,4.09,D. plexippus,A. incarnata,1.167,0.340277778,0,0,1,No attempt,Butterfly,0016-03
BEC.3.25.2.W,P. cassotis,4.09,D. plexippus,A. incarnata,1.259,0.256944444,2,1,0,Attempt,Wasps emerged,0016-03
BEC.3.25.3.C,P. cassotis,4.09,D. plexippus,A. incarnata,1.171,0.222222222,1d,0,0,Attempt,Dead wasps in host,0016-03
BEC.3.25.3.M,P. cassotis,4.09,D. plexippus,A. incarnata,1.28,0.340277778,2,1,0,Attempt,Wasps emerged,0016-03
BEC.3.25.3.W,P. cassotis,4.09,D. plexippus,A. incarnata,1.382,0.222222222,2,1,0,Attempt,Wasps emerged,0016-03
PC15.6.9.2,P. cassotis,4.104,D. plexippus,A. incarnata,1.26,0.0625,2,1,0,Attempt,Wasps emerged,0015-06
PCO16.2.13.1,P. cassotis,4.104,D. plexippus,A. incarnata,0.933,0.020833333,2,1,0,Attempt,Wasps emerged,0016-02
PCTOX15.7.20.1,P. cassotis,4.115,D. plexippus,A. curassavica,0.894,0.15625,0,0,1,No attempt,Butterfly,0015-07
I74,P. cassotis,4.125,D. plexippus,A. incarnata,0.711,0.739583333,2,1,0,Attempt,Wasps emerged,0014-10
I75,P. cassotis,4.125,D. plexippus,A. incarnata,1.23,0.78125,2,1,0,Attempt,Wasps emerged,0014-10
I76,P. cassotis,4.125,D. plexippus,A. incarnata,1.23,0.795138889,0,0,1,No attempt,Butterfly,0014-10
PCO16.9.27.1,P. cassotis,4.125,D. plexippus,A. incarnata,1.067,0.822916667,2,1,0,Attempt,Wasps emerged,0016-09
PC15.5.18.2,P. cassotis,4.163,D. plexippus,A. curassavica,1.29,0.163194444,2,1,0,Attempt,Wasps emerged,0015-05
PC15.5.18.4,P. cassotis,4.163,D. plexippus,A. incarnata,1.07,0.111111111,2,1,0,Attempt,Wasps emerged,0015-05
PC16.3.25.1,P. cassotis,4.188,D. plexippus,A. curassavica,1.158,0.1875,2,1,0,Attempt,Wasps emerged,0016-03
PC15.7.20.18,P. cassotis,4.191,D. plexippus,A. curassavica,1.045,0.107638889,0,0,1,No attempt,Butterfly,0015-07
PC15.7.20.19,P. cassotis,4.191,D. plexippus,A. curassavica,0.821,0.107638889,2,1,0,Attempt,Wasps emerged,0015-07
PC15.7.20.20,P. cassotis,4.201,D. plexippus,A. curassavica,1.442,0.034722222,2,1,0,Attempt,Wasps emerged,0015-07
PCO16.8.18.1,P. cassotis,4.208,D. plexippus,A. curassavica,1.25,0.770833333,1d,0,0,Attempt,Dead wasps in host,0016-08
